Código,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
A05.9,1,1.0,1644300.0,1644300.0,0.0
A06.0,1,1.0,730800.0,730800.0,0.0
A15.1,1,1.0,1434150.0,1434150.0,0.0
A15.3,1,1.0,2282850.0,2282850.0,0.0
A15.6,1,1.0,9416848.2886,9416848.2886,0.0
A16.9,1,1.0,1096350.0,1096350.0,0.0
A18.4,1,1.0,9416848.2886,9416848.2886,0.0
A19.2,1,1.0,2471550.0,2471550.0,0.0
A37.0,1,1.0,1549200.0,1549200.0,0.0
A38,1,1.0,762600.0,762600.0,0.0
A41.1,1,1.0,835800.0,835800.0,0.0
A48.1,1,1.0,18935781.0561,18935781.0561,0.0
A49.1,1,1.0,1184850.0,1184850.0,0.0
A49.9,1,1.0,762600.0,762600.0,0.0
A50.0,1,1.0,982800.0,982800.0,0.0
A52.3,1,1.0,1611150.0,1611150.0,0.0
A52.7,1,1.0,1184850.0,1184850.0,0.0
A54.1,1,1.0,1243133.3388,1243133.3388,0.0
B08.4,1,1.0,509400.0,509400.0,0.0
B16.9,1,1.0,1834650.0,1834650.0,0.0
B20.0,1,1.0,2274750.0,2274750.0,0.0
C54.1,1,1.0,1181400.0,1181400.0,0.0
C60.9,1,1.0,1777499.4785,1777499.4785,0.0
E14.1,1,1.0,598500.0,598500.0,0.0
D38.1,1,1.0,1444200.0,1444200.0,0.0
D43.0,1,1.0,1068900.0,1068900.0,0.0
D43.1,1,1.0,917400.0,917400.0,0.0
D44.1,1,1.0,1697902.7057,1697902.7057,0.0
D46.4,1,1.0,1358250.0,1358250.0,0.0
D47.1,1,1.0,2002200.0,2002200.0,0.0
D48.4,1,1.0,2115785.7632,2115785.7632,0.0
D48.7,1,1.0,1554887.3658,1554887.3658,0.0
D50.0,1,1.0,916950.0,916950.0,0.0
D52.9,1,1.0,697800.0,697800.0,0.0
D53.9,1,1.0,697800.0,697800.0,0.0
D59.1,1,1.0,1358250.0,1358250.0,0.0
