Código,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
O47.1,6,2.0,269850.0,372600.0,102750.0
L03.2,6,1.0,628950.0,628950.0,0.0
J04.0,6,3.0,455850.0,1044900.0,589050.0
L05.0,6,3.0,903900.0,1592744.3675,688844.3674999999
P36.8,6,4.0,982800.0,4218900.0,3236100.0
P36.9,6,4.0,316650.0,3945300.0,3628650.0
O90.2,6,4.0,468600.0,1554887.3658,1086287.3658
C16.0,6,4.0,991950.0,2085900.0,1093950.0
K25.5,6,3.0,2020657.9127,18935781.0561,16915123.1434
K85.2,6,3.0,807150.0,1862400.0,1055250.0
K25.4,6,4.0,845250.0,9416848.2886,8571598.2886
O72.2,6,4.0,483243.0092,845634.8206,362391.8114
T85.4,6,3.0,1592744.3675,1650338.7804,57594.41290000011
T83.3,6,4.0,658950.0,1152535.3859,493585.3859000001
K52.9,6,3.0,646050.0,1086450.0,440400.0
K74.6,6,2.0,1757700.0,9416848.2886,7659148.2886
K72.9,6,3.0,1065150.0,3417322.4251,2352172.4251
I61.8,6,4.0,1713600.0,18935781.0561,17222181.0561
L02.4,6,2.0,628950.0,903900.0,274950.0
T81.8,6,5.0,1041000.0,18935781.0561,17894781.0561
K56.4,6,3.0,712050.0,5767045.0451,5054995.0451
J86.9,6,5.0,1434150.0,9416848.2886,7982698.2886
I60.9,6,4.0,1356450.0,3417322.4251,2060872.4251
J06.9,6,2.0,455850.0,656700.0,200850.0
N45.0,6,4.0,590250.0,1363499.1904,773249.1904
O44.0,6,4.0,442650.0,929276.145,486626.145
K70.3,6,3.0,778500.0,1757700.0,979200.0
N90.6,6,1.0,1036375.8678,1036375.8678,0.0
T23.2,6,4.0,845700.0,10220581.556,9374881.556
N95.0,6,3.0,845634.8206,1126500.0,280865.1794
K63.2,6,6.0,730800.0,7156105.8008,6425305.8008
J15.0,6,3.0,2282850.0,18935781.0561,16652931.0561
J15.2,6,2.0,2282850.0,9416848.2886,7133998.2886
J44.9,6,3.0,730350.0,1282650.0,552300.0
O33.4,6,2.0,833986.5124,929276.145,95289.63260000001
P92.8,6,4.0,158250.0,2404500.0,2246250.0
K64.9,6,3.0,730800.0,1438242.5015,707442.5015
K65.0,6,6.0,1064100.0,18935781.0561,17871681.0561
E16.2,6,2.0,861000.0,1312950.0,451950.0
S71.1,6,3.0,810150.0,1417500.0,607350.0
A50.1,5,3.0,982800.0,2404500.0,1421700.0
K91.4,5,5.0,730800.0,5767045.0451,5036245.0451
F31.5,5,2.0,728100.0,744750.0,16650.0
K38.8,5,3.0,730800.0,3693160.8351,2962360.8351
C56,5,2.0,1181400.0,1700250.0,518850.0
F60.3,5,2.0,645450.0,720600.0,75150.0
N81.2,5,1.0,1036375.8678,1036375.8678,0.0
A08.2,5,2.0,646050.0,821250.0,175200.0
A15.0,5,2.0,1434150.0,2282850.0,848700.0
F60.9,5,1.0,645450.0,645450.0,0.0
P35.8,5,2.0,1184850.0,2471550.0,1286700.0
S02.60,5,3.0,669300.0,2202500.9466,1533200.9466
K41.9,5,2.0,1092999.5883,1466392.5797,373392.99139999994
F63.9,5,2.0,645450.0,720600.0,75150.0
I85.9,5,3.0,688050.0,1498650.0,810600.0
R07.4,5,2.0,663600.0,777900.0,114300.0
I63.4,5,4.0,1060200.0,4428945.6379,3368745.6379000004
N35.9,5,4.0,938250.0,2677007.7247,1738757.7247000001
K81.1,5,1.0,1417049.0518,1417049.0518,0.0
S21.2,5,3.0,810150.0,1417500.0,607350.0
T18.1,5,2.0,730800.0,9416848.2886,8686048.2886
P39.3,5,4.0,762600.0,1184850.0,422250.0
S06.50,5,2.0,1377750.0,2208600.0,830850.0
D69.6,5,3.0,1448550.0,2391450.0,942900.0
O69.3,5,3.0,483243.0092,833986.5124,350743.50320000004
S00.8,5,1.0,810150.0,810150.0,0.0
O30.0,5,3.0,442650.0,2179042.5481,1736392.5480999998
O41.1,5,2.0,588450.0,1324509.7143,736059.7143000001
E11.0,5,3.0,598500.0,1312950.0,714450.0
K65.8,5,3.0,1397700.0,5767045.0451,4369345.0451
J10.1,5,3.0,455850.0,1044900.0,589050.0
T63.3,5,2.0,606900.0,2080679.0565,1473779.0565
O21.1,5,2.0,442650.0,906900.0,464250.0
I49.5,5,4.0,848850.0,4153107.2279,3304257.2279
I83.0,5,4.0,702450.0,2272552.578,1570102.5780000002
O48,5,3.0,483243.0092,833986.5124,350743.50320000004
O61.1,5,2.0,833986.5124,929276.145,95289.63260000001
F14.2,5,4.0,381750.0,1320750.0,939000.0
F14.3,5,3.0,516408.3313,559650.0,43241.66869999998
I11.0,5,2.0,712050.0,1512600.0,800550.0
L05.9,5,1.0,1592744.3675,1592744.3675,0.0
L03.8,5,3.0,628950.0,1470300.0,841350.0
N13.6,5,4.0,638700.0,3791847.8909,3153147.8909
F31.1,5,2.0,728100.0,744750.0,16650.0
R11,5,2.0,646050.0,821250.0,175200.0
I63.3,5,3.0,1060200.0,2002950.0,942750.0
O64.4,5,4.0,502980.4204,833986.5124,331006.092
J45.9,4,2.0,517800.0,873150.0,355350.0
J15.8,4,2.0,2282850.0,9416848.2886,7133998.2886
S36.11,4,1.0,8517178.2603,8517178.2603,0.0
S31.1,4,3.0,927000.0,5767045.0451,4840045.0451
J13,4,3.0,3417322.4251,18935781.0561,15518458.631
K76.9,4,2.0,801900.0,1834650.0,1032750.0
K51.0,4,2.0,798450.0,1020000.0,221550.0
I88.0,4,1.0,730800.0,730800.0,0.0
K22.1,4,2.0,688050.0,950850.0,262800.0
J12.2,4,2.0,612600.0,1549200.0,936600.0
K75.0,4,3.0,801900.0,8517178.2603,7715278.260299999
S27.11,4,1.0,795900.0,795900.0,0.0
S22.40,4,2.0,941100.0,1622100.0,681000.0
K40.2,4,2.0,1092999.5883,1644300.0,551300.4117
K80.1,4,2.0,869850.0,1417049.0518,547199.0518
N49.8,4,4.0,1292250.0,7156105.8008,5863855.8008
O02.8,4,2.0,442650.0,845634.8206,402984.8206
T27.3,4,2.0,3417322.4251,9416848.2886,5999525.863499999
T87.5,4,3.0,1157550.0,3858825.6632,2701275.6632
F22.0,4,3.0,795600.0,1304400.0,508800.0
T87.6,4,4.0,1157550.0,3558396.3803,2400846.3803
F41.0,4,1.0,528600.0,528600.0,0.0
F41.2,4,2.0,1023600.0,1025850.0,2250.0
F43.2,4,3.0,528600.0,880500.0,351900.0
N81.4,4,1.0,1036375.8678,1036375.8678,0.0
F63.8,4,2.0,645450.0,720600.0,75150.0
Q50.1,4,4.0,1152535.3859,2115785.7632,963250.3772999998
C25.9,4,3.0,1145550.0,3919493.9352,2773943.9352
T79.3,4,4.0,832800.0,3408424.4119,2575624.4119
N64.9,4,2.0,1609893.2657,2369460.0312,759566.7655
G40.3,4,2.0,762900.0,955500.0,192600.0
T85.8,4,2.0,1041000.0,5767045.0451,4726045.0451
C53.9,4,4.0,1036375.8678,1243133.3388,206757.47100000002
T38.3,4,2.0,606900.0,744000.0,137100.0
D64.8,4,2.0,916950.0,1358250.0,441300.0
O62.0,4,2.0,833986.5124,929276.145,95289.63260000001
O64.9,4,2.0,559765.923,833986.5124,274220.58940000006
D53.1,4,3.0,697800.0,1358250.0,660450.0
D57.1,4,2.0,697800.0,916950.0,219150.0
P92.3,4,3.0,158250.0,1312950.0,1154700.0
D62,4,3.0,697800.0,1358250.0,660450.0
D68.8,4,3.0,1448550.0,2391450.0,942900.0
O70.2,4,3.0,502980.4204,870387.4756,367407.0552
O68.8,4,4.0,808910.2933,1324509.7143,515599.4210000001
P96.8,4,3.0,158250.0,771450.0,613200.0
E11.2,4,2.0,938250.0,1432050.0,493800.0
O21.8,4,2.0,442650.0,588450.0,145800.0
E78.1,4,3.0,959250.0,1553250.0,594000.0
I81,4,2.0,801900.0,1834650.0,1032750.0
G40.4,4,3.0,762900.0,1341300.0,578400.0
T14.9,4,3.0,915000.0,2585850.0,1670850.0
M32.1,4,3.0,976350.0,2532600.0,1556250.0
A63.0,4,2.0,986870.5578,1036375.8678,49505.310000000056
R45.8,4,2.0,576000.0,1630050.0,1054050.0
N41.0,4,2.0,590250.0,1292250.0,702000.0
R59.0,4,2.0,744150.0,1165650.0,421500.0
L72.0,4,3.0,538500.0,2369460.0312,1830960.0312
A50.2,4,1.0,982800.0,982800.0,0.0
P04.4,4,4.0,158250.0,1044750.0,886500.0
I61.9,4,4.0,1356450.0,4991947.2021,3635497.2021000003
P38,4,2.0,158250.0,730800.0,572550.0
I62.0,4,2.0,2503050.0,18935781.0561,16432731.0561
L02.1,4,3.0,628950.0,9416848.2886,8787898.2886
Z54.8,4,3.0,576000.0,2321550.0,1745550.0
P29.3,4,3.0,751800.0,3945300.0,3193500.0
S37.30,4,4.0,769350.0,1545989.3526,776639.3526000001
K91.3,4,4.0,730800.0,2020657.9127,1289857.9127
S36.81,4,3.0,1554887.3658,8517178.2603,6962290.8944999995
S72.00,4,2.0,732000.0,901050.0,169050.0
O63.0,4,2.0,833986.5124,929276.145,95289.63260000001
R33,4,2.0,553200.0,1188300.0,635100.0
M95.0,4,2.0,1644352.8442,2957214.2503,1312861.4061
P00.0,4,2.0,158250.0,609600.0,451350.0
O99.7,4,2.0,442650.0,1592744.3675,1150094.3675
O82.2,4,3.0,833986.5124,1324509.7143,490523.2019000001
O86.0,4,2.0,468600.0,1170750.0,702150.0
M72.68,4,3.0,2080679.0565,7156105.8008,5075426.7443
O66.2,3,2.0,833986.5124,929276.145,95289.63260000001
O64.8,3,2.0,483243.0092,502980.4204,19737.41120000003
O75.7,3,1.0,483243.0092,483243.0092,0.0
P25.1,3,2.0,158250.0,2257021.5004,2098771.5004
K56.2,3,3.0,948150.0,5767045.0451,4818895.0451
K46.0,3,3.0,730800.0,5767045.0451,5036245.0451
P23.9,3,2.0,2257021.5004,2856747.5919,599726.0915000001
O73.1,3,3.0,483243.0092,1352659.7925,869416.7833
O69.1,3,1.0,483243.0092,483243.0092,0.0
O86.2,3,1.0,468600.0,468600.0,0.0
O71.3,3,2.0,579665.1162,1352659.7925,772994.6762999999
P78.8,3,1.0,730800.0,730800.0,0.0
O98.1,3,3.0,442650.0,559765.923,117115.92299999995
S11.9,3,2.0,810150.0,927000.0,116850.0
K43.5,3,3.0,1313993.8805,1644300.0,330306.11950000003
O99.4,3,3.0,502980.4204,906900.0,403919.5796
K52.8,3,2.0,646050.0,821250.0,175200.0
K51.9,3,3.0,798450.0,5767045.0451,4968595.0451
P78.3,3,1.0,730800.0,730800.0,0.0
P61.2,3,3.0,158250.0,7505550.0,7347300.0
Q21.1,3,3.0,1516350.0,3945300.0,2428950.0
K56.7,3,1.0,712050.0,712050.0,0.0
O62.2,3,2.0,483243.0092,929276.145,446033.13580000005
N28.0,3,2.0,938250.0,1432050.0,493800.0
R06.8,3,1.0,630450.0,630450.0,0.0
K66.1,3,2.0,730800.0,1644300.0,913500.0
N21.9,3,2.0,1545989.3526,1769572.1576,223582.80499999993
R10.0,3,1.0,646050.0,646050.0,0.0
N18.4,3,2.0,1050000.0,1769850.0,719850.0
R17,3,1.0,801900.0,801900.0,0.0
N13.1,3,3.0,789000.0,1769572.1576,980572.1576
N04.9,3,2.0,666000.0,1141500.0,475500.0
M72.65,3,2.0,9416848.2886,18935781.0561,9518932.7675
S00.1,3,1.0,637800.0,637800.0,0.0
S01.0,3,3.0,810150.0,1417500.0,607350.0
S06.10,3,1.0,993000.0,993000.0,0.0
S01.8,3,2.0,810150.0,2520564.474,1710414.474
K75.4,3,2.0,801900.0,1834650.0,1032750.0
K76.8,3,3.0,2897840.2348,9416848.2886,6519008.0538
S02.20,3,3.0,644100.0,5834022.8174,5189922.8174
K65.9,3,2.0,1064100.0,2227500.0,1163400.0
Q90.9,3,2.0,1262400.0,3135600.0,1873200.0
N47,3,1.0,865048.6677,865048.6677,0.0
O15.0,3,2.0,833986.5124,1324509.7143,490523.2019000001
O61.8,3,1.0,833986.5124,833986.5124,0.0
O40,3,2.0,833986.5124,929276.145,95289.63260000001
O34.4,3,3.0,906900.0,1243133.3388,336233.3388
S06.61,3,3.0,1377750.0,2208600.0,830850.0
K60.3,3,2.0,986870.5578,1438242.5015,451371.94370000006
O32.5,3,2.0,929276.145,1324509.7143,395233.5693000001
O16,3,3.0,442650.0,906900.0,464250.0
O06.3,3,2.0,833986.5124,845634.8206,11648.30819999997
N75.0,3,2.0,1036375.8678,1243133.3388,206757.47100000002
O04.4,3,3.0,845634.8206,1823930.9294,978296.1088
O03.0,3,2.0,1079733.4595,1823930.9294,744197.4698999999
K62.3,3,2.0,986870.5578,1438242.5015,451371.94370000006
O01.9,3,2.0,845634.8206,1079733.4595,234098.63890000014
N99.3,3,3.0,658950.0,1152535.3859,493585.3859000001
N76.8,3,2.0,1038750.0,2467499.9587,1428749.9586999998
K64.3,3,2.0,986870.5578,1438242.5015,451371.94370000006
N81.6,3,3.0,986870.5578,1243133.3388,256262.78100000008
A02.0,3,2.0,730800.0,1644300.0,913500.0
D37.6,3,1.0,1834650.0,1834650.0,0.0
I80.8,3,2.0,985800.0,1465650.0,479850.0
T82.4,3,1.0,1207200.0,1207200.0,0.0
I25.2,3,3.0,696000.0,1143750.0,447750.0
F19.2,3,3.0,381750.0,763500.0,381750.0
T82.8,3,3.0,1207200.0,3109936.5137,1902736.5137
T83.0,3,3.0,820800.0,1416078.3595,595278.3595
J01.9,3,2.0,455850.0,1044900.0,589050.0
I13.2,3,2.0,942450.0,1512600.0,570150.0
J03.9,3,2.0,455850.0,656700.0,200850.0
T83.8,3,3.0,820800.0,1769572.1576,948772.1576
J06.8,3,2.0,455850.0,656700.0,200850.0
T24.2,3,3.0,845700.0,3345329.409,2499629.409
J14,3,2.0,2282850.0,9416848.2886,7133998.2886
J15.5,3,1.0,2282850.0,2282850.0,0.0
J15.6,3,2.0,2282850.0,18935781.0561,16652931.0561
F31.4,3,1.0,728100.0,728100.0,0.0
J20.4,3,2.0,630450.0,1444200.0,813750.0
Z01.8,3,1.0,576000.0,576000.0,0.0
C25.2,3,2.0,1987050.0,3919493.9352,1932443.9352000002
C24.9,3,3.0,1445850.0,8517178.2603,7071328.260299999
C24.1,3,2.0,1445850.0,8517178.2603,7071328.260299999
Z03.1,3,3.0,576000.0,2321550.0,1745550.0
I82.2,3,3.0,599700.0,1442400.0,842700.0
I80.3,3,2.0,599700.0,935700.0,336000.0
J44.0,3,1.0,1282650.0,1282650.0,0.0
I33.0,3,2.0,3423150.0,9416848.2886,5993698.2886
E05.9,3,2.0,732750.0,1049100.0,316350.0
I61.1,3,3.0,1684636.5769,18935781.0561,17251144.479199998
I61.2,3,2.0,1356450.0,2202500.9466,846050.9465999999
T45.0,3,2.0,606900.0,744000.0,137100.0
I61.5,3,3.0,2202500.9466,3417322.4251,1214821.4785000002
I63.2,3,2.0,1336350.0,2002950.0,666600.0
S41.1,3,2.0,810150.0,1417500.0,607350.0
E27.1,3,3.0,732750.0,9416848.2886,8684098.2886
E51.2,3,2.0,861000.0,1684636.5769,823636.5769
T42.7,3,2.0,606900.0,744000.0,137100.0
E83.5,3,3.0,483900.0,1080900.0,597000.0
D37.7,3,3.0,1010400.0,8517178.2603,7506778.260299999
G51.0,3,2.0,964800.0,1027950.0,63150.0
I45.3,3,3.0,1262100.0,4153107.2279,2891007.2279
F10.0,3,3.0,381750.0,1320750.0,939000.0
T78.0,3,2.0,417600.0,975000.0,557400.0
I44.7,3,2.0,848850.0,1262100.0,413250.0
S36.80,3,2.0,0.0,2585115.5154,2585115.5154
D17.0,3,3.0,1345703.164,1975197.1542,629493.9901999999
T29.2,3,3.0,554100.0,10220581.556,9666481.556
S36.71,3,3.0,0.0,2585115.5154,2585115.5154
Z03.3,3,2.0,576000.0,1630050.0,1054050.0
T22.2,3,1.0,845700.0,845700.0,0.0
S26.01,3,2.0,3145852.1307,6758769.0647,3612916.934
J94.8,3,2.0,850500.0,1444200.0,593700.0
K26.9,3,2.0,845250.0,1074300.0,229050.0
K04.7,3,2.0,669300.0,979800.0,310500.0
H02.4,3,2.0,1312861.406,1592744.3675,279882.9615
A49.8,3,3.0,1184850.0,9416848.2886,8231998.2886
K27.1,3,3.0,2020657.9127,9416848.2886,7396190.375899999
S21.1,3,2.0,810150.0,927000.0,116850.0
B02.9,3,2.0,728700.0,1183950.0,455250.0
S22.00,3,2.0,816600.0,1039800.0,223200.0
S27.20,3,3.0,795900.0,1826100.0,1030200.0
S20.2,3,2.0,810150.0,927000.0,116850.0
J98.1,3,1.0,1444200.0,1444200.0,0.0
C18.2,3,2.0,2020657.9127,5767045.0451,3746387.1323999995
A08.3,3,1.0,821250.0,821250.0,0.0
K22.6,3,2.0,688050.0,950850.0,262800.0
G93.4,3,1.0,1733400.0,1733400.0,0.0
F50.0,3,1.0,2242650.0,2242650.0,0.0
C16.3,3,3.0,1327500.0,2585115.5154,1257615.5154
Z53.0,3,2.0,576000.0,1630050.0,1054050.0
J80,3,2.0,3417322.4251,9416848.2886,5999525.863499999
T14.0,3,2.0,810150.0,1417500.0,607350.0
T07,3,1.0,915000.0,915000.0,0.0
F43.1,3,3.0,528600.0,880500.0,351900.0
J84.9,3,2.0,1798500.0,3417322.4251,1618822.4251
F84.9,3,2.0,872700.0,976650.0,103950.0
C16.1,3,3.0,2020657.9127,2585115.5154,564457.6026999999
C15.5,3,2.0,1327500.0,5767045.0451,4439545.0451
G43.9,3,2.0,759600.0,921150.0,161550.0
J85.2,3,2.0,1096350.0,1434150.0,337800.0
T37.8,2,1.0,606900.0,606900.0,0.0
E88.8,2,2.0,1553250.0,3618579.3061,2065329.3061000002
F05.9,2,2.0,976650.0,1262400.0,285750.0
N64.8,2,2.0,1609893.2657,1650338.7804,40445.51469999994
G41.0,2,2.0,762900.0,1341300.0,578400.0
N60.4,2,2.0,538500.0,1609893.2657,1071393.2657
F06.8,2,2.0,976650.0,1262400.0,285750.0
N81.9,2,2.0,1036375.8678,1152535.3859,116159.5181000001
G41.8,2,2.0,9416848.2886,18935781.0561,9518932.7675
O21.2,2,2.0,442650.0,906900.0,464250.0
E27.4,2,2.0,1049100.0,1654500.0,605400.0
O22.3,2,1.0,442650.0,442650.0,0.0
Q68.8,2,2.0,1598100.0,3135600.0,1537500.0
G41.9,2,2.0,3417322.4251,9416848.2886,5999525.863499999
O24.0,2,2.0,442650.0,906900.0,464250.0
T44.7,2,2.0,606900.0,1205550.0,598650.0
T11.1,2,1.0,810150.0,810150.0,0.0
N44,2,2.0,1363499.1904,1607142.9708,243643.78040000005
E10.5,2,2.0,1465650.0,1591288.329,125638.32899999991
Q03.9,2,2.0,1068900.0,7505550.0,6436650.0
O26.8,2,2.0,483243.0092,2108020.2244,1624777.2152000002
E04.1,2,2.0,1440669.2324,1654500.0,213830.7675999999
E22.2,2,1.0,1654500.0,1654500.0,0.0
F14.5,2,2.0,381750.0,559650.0,177900.0
O12.0,2,1.0,442650.0,442650.0,0.0
O08.8,2,2.0,1376118.191,1818915.6855,442797.4944999998
N82.3,2,2.0,1644300.0,5767045.0451,4122745.0450999998
N83.0,2,1.0,658950.0,658950.0,0.0
F41.9,2,1.0,528600.0,528600.0,0.0
F33.9,2,1.0,489300.0,489300.0,0.0
N83.8,2,2.0,658950.0,2179042.5481,1520092.5480999998
N84.1,2,2.0,1036375.8678,1152535.3859,116159.5181000001
N85.1,2,1.0,1152535.3859,1152535.3859,0.0
E03.9,2,2.0,1036375.8678,1049100.0,12724.132199999993
F60.2,2,2.0,645450.0,1188750.0,543300.0
Q31.5,2,2.0,383550.0,644100.0,260550.0
T24.0,2,2.0,554100.0,845700.0,291600.0
F60.7,2,2.0,645450.0,720600.0,75150.0
N80.9,2,2.0,845634.8206,1395370.256,549735.4354000001
F60.8,2,1.0,645450.0,645450.0,0.0
F23.2,2,2.0,1023600.0,1025850.0,2250.0
F84.0,2,2.0,872700.0,976650.0,103950.0
T18.5,2,1.0,1010400.0,1010400.0,0.0
T24.3,2,2.0,1611300.0,9416848.2886,7805548.2886
F20.5,2,2.0,1023600.0,1367250.0,343650.0
O02.0,2,1.0,845634.8206,845634.8206,0.0
T28.0,2,2.0,941100.0,9416848.2886,8475748.2886
O03.5,2,2.0,845634.8206,1079733.4595,234098.63890000014
T17.9,2,2.0,1444200.0,9416848.2886,7972648.2886
T17.8,2,2.0,1444200.0,5683241.9388,4239041.9388
N70.1,2,2.0,1376118.191,1395370.256,19252.064999999944
O06.0,2,2.0,845634.8206,1079733.4595,234098.63890000014
F14.0,2,2.0,528000.0,3417322.4251,2889322.4251
F13.0,2,2.0,381750.0,763350.0,381600.0
F12.2,2,2.0,528000.0,1320750.0,792750.0
P92.9,2,2.0,598500.0,1312950.0,714450.0
Q51.2,2,2.0,658950.0,790050.0,131100.0
D73.5,2,2.0,744150.0,2374650.0,1630500.0
C65,2,2.0,0.0,1050000.0,1050000.0
O99.1,2,2.0,588450.0,906900.0,318450.0
P52.0,2,2.0,2404500.0,4218900.0,1814400.0
Z04.8,2,1.0,576000.0,576000.0,0.0
C15.1,2,2.0,1327500.0,4311491.8634,2983991.8634
C18.0,2,1.0,5767045.0451,5767045.0451,0.0
C18.3,2,2.0,2585115.5154,5767045.0451,3181929.5297
C18.6,2,2.0,1327500.0,2585115.5154,1257615.5154
C22.1,2,1.0,1445850.0,1445850.0,0.0
C24.0,2,1.0,8517178.2603,8517178.2603,0.0
P61.6,2,2.0,609600.0,2404500.0,1794900.0
P70.1,2,1.0,158250.0,158250.0,0.0
C34.1,2,1.0,1973550.0,1973550.0,0.0
C44.3,2,2.0,1345703.164,1592744.3675,247041.20349999983
O72.1,2,2.0,502980.4204,1324509.7143,821529.2939000002
O72.0,2,2.0,1324509.7143,1352659.7925,28150.078199999873
P74.1,2,2.0,609600.0,1684636.5769,1075036.5769
O71.4,2,2.0,502980.4204,771700.4198,268719.99940000003
Z43.0,2,1.0,1444200.0,1444200.0,0.0
B02.3,2,2.0,637800.0,878850.0,241050.0
B00.2,2,1.0,669300.0,669300.0,0.0
Z59.7,2,1.0,158250.0,158250.0,0.0
A04.9,2,2.0,730800.0,1644300.0,913500.0
P27.1,2,2.0,850500.0,1444200.0,593700.0
P29.1,2,1.0,158250.0,158250.0,0.0
P24.0,2,1.0,3945300.0,3945300.0,0.0
P23.0,2,2.0,1096350.0,1434150.0,337800.0
Z76.8,2,2.0,576000.0,1630050.0,1054050.0
A16.2,2,1.0,1434150.0,1434150.0,0.0
Z54.0,2,2.0,1630050.0,2321550.0,691500.0
Z43.5,2,2.0,938250.0,1064525.946,126275.946
P20.9,2,1.0,316650.0,316650.0,0.0
P15.8,2,1.0,158250.0,158250.0,0.0
A41.0,2,1.0,2104800.0,2104800.0,0.0
A41.5,2,2.0,1148250.0,9416848.2886,8268598.2886
P08.1,2,1.0,158250.0,158250.0,0.0
A49.0,2,1.0,2471550.0,2471550.0,0.0
P39.8,2,2.0,762600.0,1184850.0,422250.0
T85.7,2,2.0,1041000.0,2014650.0,973650.0
C66,2,1.0,1769850.0,1769850.0,0.0
O33.1,2,1.0,833986.5124,833986.5124,0.0
C77.9,2,2.0,1287000.0,3618579.3061,2331579.3061
T65.9,2,1.0,606900.0,606900.0,0.0
T65.8,2,1.0,606900.0,606900.0,0.0
D40.0,2,1.0,1763748.0035,1763748.0035,0.0
D40.1,2,2.0,1363499.1904,1665546.2939,302047.10349999997
D41.4,2,2.0,938250.0,2677007.7247,1738757.7247000001
D47.9,2,2.0,2002200.0,2851570.566,849370.5660000001
D48.3,2,2.0,1554887.3658,1644300.0,89412.63419999997
D48.6,2,1.0,1609893.2657,1609893.2657,0.0
T54.2,2,2.0,1205550.0,9416848.2886,8211298.2886
O36.8,2,1.0,442650.0,442650.0,0.0
T52.4,2,2.0,744000.0,1205550.0,461550.0
O36.3,2,2.0,442650.0,833986.5124,391336.5124
D61.9,2,2.0,916950.0,1358250.0,441300.0
T50.9,2,2.0,606900.0,1205550.0,598650.0
D69.3,2,1.0,1448550.0,1448550.0,0.0
T50.5,2,2.0,606900.0,1205550.0,598650.0
T49.2,2,1.0,606900.0,606900.0,0.0
O60.3,2,1.0,833986.5124,833986.5124,0.0
D37.5,2,2.0,2020657.9127,2585115.5154,564457.6026999999
T75.4,2,1.0,600900.0,600900.0,0.0
P90,2,2.0,316650.0,762900.0,446250.0
C78.2,2,2.0,999150.0,1973550.0,974400.0
P81.8,2,1.0,158250.0,158250.0,0.0
C78.6,2,2.0,1327500.0,2085900.0,758400.0
C79.3,2,2.0,976800.0,1611150.0,634350.0
C80.0,2,2.0,1287000.0,2002200.0,715200.0
C85.9,2,2.0,1284150.0,4311491.8634,3027341.8634
P81.9,2,2.0,528150.0,751800.0,223650.0
T82.1,2,2.0,1207200.0,2224350.0,1017150.0
T78.2,2,2.0,417600.0,1684636.5769,1267036.5769
C92.9,2,1.0,3012450.0,3012450.0,0.0
O66.0,2,2.0,559765.923,833986.5124,274220.58940000006
T79.6,2,2.0,1592744.3675,7156105.8008,5563361.433300001
O64.5,2,2.0,833986.5124,929276.145,95289.63260000001
D13.6,2,2.0,1061250.0,2897840.2348,1836590.2348000002
D17.2,2,2.0,1345703.164,1975197.1542,629493.9901999999
D17.3,2,1.0,1975197.1542,1975197.1542,0.0
T01.3,2,2.0,2080679.0565,9416848.2886,7336169.2321
J96.19,2,2.0,1444200.0,18935781.0561,17491581.0561
L02.8,2,2.0,2080679.0565,3408424.4119,1327745.3554000002
I15.0,2,1.0,1147650.0,1147650.0,0.0
L72.1,2,2.0,538500.0,796800.0,258300.0
L73.2,2,2.0,1312500.0,1592744.3675,280244.36749999993
S32.80,2,2.0,1452900.0,18935781.0561,17482881.0561
L89.1,2,2.0,2287800.0,3408424.4119,1120624.4119000002
S51.7,2,2.0,927000.0,2520564.474,1593564.474
I49.4,2,2.0,848850.0,4153107.2279,3304257.2279
J12.0,2,2.0,612600.0,1549200.0,936600.0
K66.8,2,2.0,1010400.0,2115785.7632,1105385.7632
S31.8,2,2.0,730800.0,2020657.9127,1289857.9127
J16.8,2,2.0,612600.0,1549200.0,936600.0
S61.7,2,2.0,810150.0,927000.0,116850.0
M35.0,2,1.0,1299450.0,1299450.0,0.0
J18.0,2,1.0,612600.0,612600.0,0.0
J20.6,2,1.0,1444200.0,1444200.0,0.0
I35.0,2,1.0,1516350.0,1516350.0,0.0
K64.2,2,1.0,986870.5578,986870.5578,0.0
K63.8,2,2.0,730800.0,5767045.0451,5036245.0451
S06.51,2,2.0,2208600.0,3417322.4251,1208722.4251
I34.0,2,2.0,1010850.0,9416848.2886,8405998.2886
J39.0,2,1.0,656700.0,656700.0,0.0
M62.89,2,2.0,721500.0,1012050.0,290550.0
K86.1,2,1.0,807150.0,807150.0,0.0
K62.8,2,2.0,730800.0,1644300.0,913500.0
J40,2,2.0,850500.0,9416848.2886,8566348.2886
J43.9,2,2.0,730350.0,1282650.0,552300.0
S31.0,2,2.0,927000.0,1554887.3658,627887.3658
J84.8,2,1.0,1798500.0,1798500.0,0.0
K59.3,2,2.0,1644300.0,2202500.9466,558200.9465999999
I20.9,2,2.0,663600.0,994800.0,331200.0
I51.5,2,2.0,712800.0,1443300.0,730500.0
S36.01,2,2.0,0.0,8517178.2603,8517178.2603
S06.00,2,1.0,1031400.0,1031400.0,0.0
S39.9,2,1.0,915000.0,915000.0,0.0
K86.2,2,2.0,1061250.0,1862400.0,801150.0
S02.30,2,2.0,637800.0,878850.0,241050.0
K90.4,2,2.0,730800.0,1010400.0,279600.0
I71.4,2,1.0,1465650.0,1465650.0,0.0
S02.10,2,1.0,993000.0,993000.0,0.0
I71.3,2,2.0,985800.0,1465650.0,479850.0
I71.2,2,2.0,702450.0,1465650.0,763200.0
K91.8,2,2.0,1010400.0,5767045.0451,4756645.0451
S37.01,2,2.0,3791847.8909,9416848.2886,5625000.3977
