Código,GRD_final,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
K44.9,06120,6,2.0,2020657.9127,2585115.5154,564457.6026999999
K46.9,06112,6,2.0,1313993.8805,1670237.9736,356244.09309999994
K52.9,06417,6,3.0,646050.0,1086450.0,440400.0
K56.6,06120,6,3.0,2020657.9127,5767045.0451,3746387.1323999995
K60.5,06150,6,2.0,986870.5578,1438242.5015,451371.94370000006
K61.2,06150,6,2.0,986870.5578,1438242.5015,451371.94370000006
K70.3,07410,6,3.0,778500.0,1757700.0,979200.0
K85.2,07412,6,3.0,807150.0,1862400.0,1055250.0
K92.1,06418,6,2.0,730800.0,1010400.0,279600.0
K25.4,06411,5,3.0,845250.0,1570200.0,724950.0
K25.5,06120,5,2.0,2020657.9127,5767045.0451,3746387.1323999995
K41.9,06114,5,2.0,1092999.5883,1466392.5797,373392.99139999994
K56.4,06415,5,2.0,712050.0,1518900.0,806850.0
K57.2,06120,5,3.0,2020657.9127,5767045.0451,3746387.1323999995
K64.9,06418,5,2.0,730800.0,1010400.0,279600.0
K72.0,07413,5,2.0,1065150.0,1834650.0,769500.0
K72.9,07413,5,2.0,1065150.0,1834650.0,769500.0
K74.6,07410,5,1.0,1757700.0,1757700.0,0.0
K80.4,07414,5,2.0,869850.0,1724250.0,854400.0
K81.1,07114,5,1.0,1417049.0518,1417049.0518,0.0
K92.2,04102,5,1.0,9416848.2886,9416848.2886,0.0
K22.1,06412,4,2.0,688050.0,950850.0,262800.0
K35.8,06418,4,2.0,730800.0,1010400.0,279600.0
K51.0,06413,4,2.0,798450.0,1020000.0,221550.0
K55.0,04102,4,1.0,9416848.2886,9416848.2886,0.0
K56.5,06120,4,3.0,2020657.9127,5767045.0451,3746387.1323999995
K56.6,06415,4,3.0,712050.0,1518900.0,806850.0
K57.2,06413,4,2.0,798450.0,1542300.0,743850.0
K57.3,06120,4,2.0,2020657.9127,5767045.0451,3746387.1323999995
K61.2,06418,4,2.0,730800.0,1010400.0,279600.0
K63.1,06418,4,2.0,1010400.0,1644300.0,633900.0
K64.8,06418,4,2.0,730800.0,1010400.0,279600.0
K65.8,06416,4,2.0,1397700.0,2227500.0,829800.0
K76.9,07413,4,2.0,801900.0,1834650.0,1032750.0
K04.7,03414,3,2.0,669300.0,979800.0,310500.0
K22.6,06412,3,2.0,688050.0,950850.0,262800.0
K26.9,06411,3,2.0,845250.0,1074300.0,229050.0
K37,06418,3,2.0,730800.0,1644300.0,913500.0
K38.8,06113,3,1.0,1196863.67,1196863.67,0.0
K40.2,06114,3,1.0,1092999.5883,1092999.5883,0.0
K44.9,04130,3,1.0,1758409.1956,1758409.1956,0.0
K52.8,06417,3,2.0,646050.0,821250.0,175200.0
K56.7,06415,3,1.0,712050.0,712050.0,0.0
K60.3,06150,3,2.0,986870.5578,1438242.5015,451371.94370000006
K62.3,06150,3,2.0,986870.5578,1438242.5015,451371.94370000006
K64.3,06150,3,2.0,986870.5578,1438242.5015,451371.94370000006
K64.8,06150,3,1.0,986870.5578,986870.5578,0.0
K65.0,06416,3,3.0,1064100.0,2227500.0,1163400.0
K65.9,06416,3,2.0,1064100.0,2227500.0,1163400.0
K66.1,06418,3,2.0,730800.0,1644300.0,913500.0
K70.4,04120,3,1.0,3417322.4251,3417322.4251,0.0
K75.4,07413,3,2.0,801900.0,1834650.0,1032750.0
K80.2,06120,3,2.0,2020657.9127,2585115.5154,564457.6026999999
K82.8,07414,3,1.0,869850.0,869850.0,0.0
K92.0,04120,3,1.0,3417322.4251,3417322.4251,0.0
K12.2,03130,2,1.0,1031198.8419,1031198.8419,0.0
K20,06412,2,2.0,688050.0,1498650.0,810600.0
K21.9,06120,2,1.0,2020657.9127,2020657.9127,0.0
K27.1,06120,2,2.0,2020657.9127,2585115.5154,564457.6026999999
K35.2,04102,2,1.0,9416848.2886,9416848.2886,0.0
K35.3,06120,2,2.0,2585115.5154,5767045.0451,3181929.5297
K35.3,06140,2,1.0,1554887.3658,1554887.3658,0.0
K35.8,06120,2,2.0,2020657.9127,5767045.0451,3746387.1323999995
K40.9,06112,2,1.0,1313993.8805,1313993.8805,0.0
K40.9,06418,2,2.0,730800.0,1644300.0,913500.0
K42.1,06120,2,1.0,2020657.9127,2020657.9127,0.0
K42.9,06418,2,2.0,730800.0,1010400.0,279600.0
K51.8,06413,2,2.0,798450.0,1020000.0,221550.0
K51.9,06413,2,2.0,798450.0,1020000.0,221550.0
K52.3,06417,2,1.0,1086450.0,1086450.0,0.0
K56.2,06120,2,2.0,2585115.5154,5767045.0451,3181929.5297
K56.5,06140,2,2.0,1554887.3658,3693160.8351,2138273.4693
K62.8,06418,2,2.0,730800.0,1644300.0,913500.0
K63.1,04102,2,1.0,9416848.2886,9416848.2886,0.0
K63.2,06120,2,2.0,2585115.5154,5767045.0451,3181929.5297
K64.2,06150,2,1.0,986870.5578,986870.5578,0.0
K72.1,04120,2,1.0,3417322.4251,3417322.4251,0.0
K75.0,07110,2,1.0,8517178.2603,8517178.2603,0.0
K75.0,07413,2,2.0,801900.0,1834650.0,1032750.0
K76.6,07413,2,1.0,1834650.0,1834650.0,0.0
K80.0,07112,2,2.0,1740774.9512,2331441.2474,590666.2962000002
K80.1,07114,2,1.0,1417049.0518,1417049.0518,0.0
K80.1,07414,2,1.0,869850.0,869850.0,0.0
K80.2,07112,2,1.0,2331441.2474,2331441.2474,0.0
